Precision,1st-order Trotter,2nd-order Trotter,qDRIFT,SA-LCU
1.00000000E-01,1.58490000E+08,4.80000000E+06,6.24120000E+06,4.00000000E+04
3.59381366E-02,1.15092000E+09,1.58460000E+07,4.02899840E+07,1.77920000E+05
1.29154967E-02,8.57746800E+09,5.57280000E+07,2.79088920E+08,3.09600000E+05
4.64158883E-03,6.48933426E+10,1.93860000E+08,1.97016902E+09,8.61600000E+05
1.66810054E-03,4.95456248E+11,7.01298000E+08,1.43058318E+10,2.39760000E+06
5.99484250E-04,3.80438396E+12,2.45210700E+09,1.04162036E+11,6.67240000E+06
2.15443469E-04,2.93063660E+13,8.77243500E+09,8.01528381E+11,1.85660000E+07
7.74263683E-05,2.26221316E+14,3.13844220E+10,6.03846612E+12,5.16616000E+07
2.78255940E-05,1.74836510E+15,1.13205015E+11,4.69304320E+13,1.43752400E+08
1.00000000E-05,1.35221400E+16,4.04999595E+11,3.65048275E+14,3.99999600E+08
