Time,1st-order Trotter,2nd-order Trotter,qDRIFT,SA-LCU
1,1.62018000E+08,8.64000000E+06,3.62160000E+07,4.01200000E+06
2,1.29607200E+09,4.17600000E+07,2.88000000E+08,3.20000000E+07
3,4.37416200E+09,1.03680000E+08,9.72000000E+08,1.08000000E+08
4,1.03682880E+10,1.95840000E+08,2.30400000E+09,2.56000000E+08
5,2.02504500E+10,3.24000000E+08,4.50000000E+09,5.00000000E+08
6,3.49926480E+10,4.92480000E+08,7.77600000E+09,8.64000000E+08
7,5.55668820E+10,6.87960000E+08,1.23480000E+10,1.37200000E+09
8,8.29451520E+10,9.44640000E+08,1.84320000E+10,2.04800000E+09
9,1.18099458E+11,1.22472000E+09,2.62440000E+10,2.91600000E+09
10,1.62001800E+11,1.54800000E+09,3.60000000E+10,4.00000000E+09
